id,name,short,shows_as
1,"regnum","",".epithet sp."
3,"divisio","",".epithet sp."
5,"classis","",".epithet sp."
7,"ordo","",".epithet sp."
9,"familia","Fam.",".epithet sp."
10,"subfamilia","Subfam.",".epithet sp."
11,"tribus","Tr.",".epithet sp."
12,"subtribus","Subtr.",".epithet sp."
13,"genus","Gen.",".epithet sp."
14,"subgenus","Subgen.",".genus subg. .epithet sp."
15,"sectio","Sec.",".genus sec. .epithet sp."
16,"subsectio","Subsec.",".genus subsec. .epithet sp."
17,"species","sp.",".genus .epithet"
18,"subspecies","subsp.",".binomial subsp. .epithet"
19,"varietas","var.",".binomial var. .epithet"
20,"forma","f.",".binomial f. .epithet"
21,"cultivar","cv",".scientific '.epithet'"
